2023-05-25\ICS-1412\logs\icsLog.txt:[ICS] [05/25/23 06:14:58] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 722. 	Threshold = 50. 	Count = 698. 	TimeStamp(hh:mm:ss) = 0:9:8.929910
2023-06-05\ICS-1412\logs\icsLog.txt:[ICS] [06/05/23 09:02:53] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 17251. 	Threshold = 50. 	Count = 665. 	TimeStamp(hh:mm:ss) = 3:19:36.933547
2023-06-06\ICS-1412\logs\icsLog.txt:[ICS] [06/06/23 06:13:42] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 6921. 	Threshold = 50. 	Count = 426. 	TimeStamp(hh:mm:ss) = 0:51:38.700528
2023-06-06\ICS-1412\logs\icsLog.txt:[ICS] [06/06/23 11:14:27] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 108989. 	Threshold = 50. 	Count = 186. 	TimeStamp(hh:mm:ss) = 5:52:23.801147
2023-06-07\ICS-1412\logs\icsLog.txt:[ICS] [06/07/23 07:58:02] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 36691. 	Threshold = 50. 	Count = 178. 	TimeStamp(hh:mm:ss) = 1:53:49.078268
2023-06-08\ICS-1412\logs\icsLog.txt:[ICS] [06/08/23 06:06:25] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 980. 	Threshold = 50. 	Count = 1006. 	TimeStamp(hh:mm:ss) = 0:17:31.461575
2023-06-12\ICS-1412\logs\icsLog.txt:[ICS] [06/12/23 07:16:43] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1264. 	Threshold = 50. 	Count = 2290. 	TimeStamp(hh:mm:ss) = 0:50:40.141172
2023-06-13\ICS-1412\logs\icsLog.txt:[ICS] [06/13/23 06:13:56] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 598. 	Threshold = 50. 	Count = 3299. 	TimeStamp(hh:mm:ss) = 0:34:42.572447
2023-06-15\ICS-1412\logs\icsLog.txt:[ICS] [06/15/23 07:58:12] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 24385. 	Threshold = 50. 	Count = 94. 	TimeStamp(hh:mm:ss) = 0:40:11.710761
2023-06-16\ICS-1412\logs\icsLog.txt:[ICS] [06/16/23 06:09:46] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 811. 	Threshold = 50. 	Count = 2894. 	TimeStamp(hh:mm:ss) = 0:41:10.631425
2023-06-19\ICS-1412\logs\icsLog.txt:[ICS] [06/19/23 07:23:08] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 10812. 	Threshold = 50. 	Count = 234. 	TimeStamp(hh:mm:ss) = 0:44:19.531557
2023-06-19\ICS-1412\logs\icsLog.txt:[ICS] [06/19/23 10:44:18] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1314. 	Threshold = 50. 	Count = 226. 	TimeStamp(hh:mm:ss) = 0:5:35.470886
2023-06-20\ICS-1412\logs\icsLog.txt:[ICS] [06/20/23 06:25:08] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 696. 	Threshold = 50. 	Count = 2710. 	TimeStamp(hh:mm:ss) = 0:33:10.019256
2023-06-21\ICS-1412\logs\icsLog.txt:[ICS] [06/21/23 06:24:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 10509. 	Threshold = 50. 	Count = 230. 	TimeStamp(hh:mm:ss) = 0:42:21.992762
2023-06-22\ICS-1414-R\logs\icsLog.txt:[ICS] [06/22/23 13:27:05] (I) Signal DPGP2, 	Rising front 	Current DeltaTime = 132. 	Mean DeltaTime = 497. 	Threshold = 200. 	Count = 50011. 	TimeStamp(hh:mm:ss) = 7:12:38.322842
2023-06-23\ICS-1412\logs\icsLog.txt:[ICS] [06/23/23 06:06:40] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3710. 	Threshold = 50. 	Count = 724. 	TimeStamp(hh:mm:ss) = 0:47:3.648593
2023-07-17\ICS-1412\logs\icsLog.txt:[ICS] [07/17/23 10:16:33] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3488. 	Threshold = 50. 	Count = 2429. 	TimeStamp(hh:mm:ss) = 2:27:31.440176
2023-07-17\ICS-1412\logs\icsLog.txt:[ICS] [07/17/23 13:56:04] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 8978. 	Threshold = 50. 	Count = 2352. 	TimeStamp(hh:mm:ss) = 6:7:2.581193
